checkpoint_key,checkpoint_path,threshold,teams_real_all_dev__n_videos,teams_real_all_dev__real_fpr,teams_real_all_dev__fake_recall,teams_real_poor_quality_dev__n_videos,teams_real_poor_quality_dev__real_fpr,teams_real_poor_quality_dev__fake_recall,teams_real_lighting_extreme_dev__n_videos,teams_real_lighting_extreme_dev__real_fpr,teams_real_lighting_extreme_dev__fake_recall,teams_fake_all_dev__n_videos,teams_fake_all_dev__real_fpr,teams_fake_all_dev__fake_recall,visomaster_enhanced_macro_dev__n_videos,visomaster_enhanced_macro_dev__real_fpr,visomaster_enhanced_macro_dev__fake_recall,deeplive_enhanced_dev__n_videos,deeplive_enhanced_dev__real_fpr,deeplive_enhanced_dev__fake_recall,dev_primary_real_fpr,dev_worst_real_stress_fpr,dev_fake_macro_recall
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.7403,3253,0.058408,,923,0.03467,,1401,0.091363,,2409,,0.621005,550,,0.061818,545,,0.66789,0.058408,0.091363,0.450238
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.74021,3253,0.058715,,923,0.035753,,1401,0.091363,,2409,,0.621005,550,,0.061818,545,,0.66789,0.058715,0.091363,0.450238
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.740082,3253,0.059022,,923,0.035753,,1401,0.092077,,2409,,0.621005,550,,0.061818,545,,0.66789,0.059022,0.092077,0.450238
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.740314,3253,0.058408,,923,0.03467,,1401,0.091363,,2409,,0.620589,550,,0.061818,545,,0.66789,0.058408,0.091363,0.450099
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.740373,3253,0.058408,,923,0.03467,,1401,0.091363,,2409,,0.620174,550,,0.061818,545,,0.66789,0.058408,0.091363,0.449961
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.740636,3253,0.058408,,923,0.03467,,1401,0.091363,,2409,,0.619759,550,,0.061818,545,,0.666055,0.058408,0.091363,0.449211
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.740659,3253,0.0581,,923,0.03467,,1401,0.09065,,2409,,0.619344,550,,0.061818,545,,0.66422,0.0581,0.09065,0.448461
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.74065,3253,0.058408,,923,0.03467,,1401,0.091363,,2409,,0.619344,550,,0.061818,545,,0.66422,0.058408,0.091363,0.448461
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.740843,3253,0.057793,,923,0.03467,,1401,0.09065,,2409,,0.618929,550,,0.061818,545,,0.662385,0.057793,0.09065,0.447711
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.740703,3253,0.0581,,923,0.03467,,1401,0.09065,,2409,,0.618929,550,,0.061818,545,,0.662385,0.0581,0.09065,0.447711
